# The Hard rung verdict panel ([[campaign-ledger]]): champion vs
# champion+nukes1 on 48 shared fresh seeds at difficulty 1, laws six
# and nine scale. The screens read champ 23/24 with one wipe (ground
# down by the rival navy over 7,380 samples) and nuke1 12/12 at a
# faster median close -- the mandate wants 100 percent, and this panel
# decides the rung's champion. Seeds 8751001-8755889.
#
# label | seed | doctrine | samples
champ|8751001|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8751001|doctrines/g4m2-nuke1.doctrine|10000
champ|8751105|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8751105|doctrines/g4m2-nuke1.doctrine|10000
champ|8751209|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8751209|doctrines/g4m2-nuke1.doctrine|10000
champ|8751313|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8751313|doctrines/g4m2-nuke1.doctrine|10000
champ|8751417|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8751417|doctrines/g4m2-nuke1.doctrine|10000
champ|8751521|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8751521|doctrines/g4m2-nuke1.doctrine|10000
champ|8751625|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8751625|doctrines/g4m2-nuke1.doctrine|10000
champ|8751729|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8751729|doctrines/g4m2-nuke1.doctrine|10000
champ|8751833|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8751833|doctrines/g4m2-nuke1.doctrine|10000
champ|8751937|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8751937|doctrines/g4m2-nuke1.doctrine|10000
champ|8752041|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8752041|doctrines/g4m2-nuke1.doctrine|10000
champ|8752145|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8752145|doctrines/g4m2-nuke1.doctrine|10000
champ|8752249|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8752249|doctrines/g4m2-nuke1.doctrine|10000
champ|8752353|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8752353|doctrines/g4m2-nuke1.doctrine|10000
champ|8752457|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8752457|doctrines/g4m2-nuke1.doctrine|10000
champ|8752561|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8752561|doctrines/g4m2-nuke1.doctrine|10000
champ|8752665|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8752665|doctrines/g4m2-nuke1.doctrine|10000
champ|8752769|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8752769|doctrines/g4m2-nuke1.doctrine|10000
champ|8752873|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8752873|doctrines/g4m2-nuke1.doctrine|10000
champ|8752977|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8752977|doctrines/g4m2-nuke1.doctrine|10000
champ|8753081|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8753081|doctrines/g4m2-nuke1.doctrine|10000
champ|8753185|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8753185|doctrines/g4m2-nuke1.doctrine|10000
champ|8753289|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8753289|doctrines/g4m2-nuke1.doctrine|10000
champ|8753393|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8753393|doctrines/g4m2-nuke1.doctrine|10000
champ|8753497|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8753497|doctrines/g4m2-nuke1.doctrine|10000
champ|8753601|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8753601|doctrines/g4m2-nuke1.doctrine|10000
champ|8753705|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8753705|doctrines/g4m2-nuke1.doctrine|10000
champ|8753809|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8753809|doctrines/g4m2-nuke1.doctrine|10000
champ|8753913|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8753913|doctrines/g4m2-nuke1.doctrine|10000
champ|8754017|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8754017|doctrines/g4m2-nuke1.doctrine|10000
champ|8754121|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8754121|doctrines/g4m2-nuke1.doctrine|10000
champ|8754225|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8754225|doctrines/g4m2-nuke1.doctrine|10000
champ|8754329|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8754329|doctrines/g4m2-nuke1.doctrine|10000
champ|8754433|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8754433|doctrines/g4m2-nuke1.doctrine|10000
champ|8754537|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8754537|doctrines/g4m2-nuke1.doctrine|10000
champ|8754641|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8754641|doctrines/g4m2-nuke1.doctrine|10000
champ|8754745|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8754745|doctrines/g4m2-nuke1.doctrine|10000
champ|8754849|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8754849|doctrines/g4m2-nuke1.doctrine|10000
champ|8754953|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8754953|doctrines/g4m2-nuke1.doctrine|10000
champ|8755057|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8755057|doctrines/g4m2-nuke1.doctrine|10000
champ|8755161|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8755161|doctrines/g4m2-nuke1.doctrine|10000
champ|8755265|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8755265|doctrines/g4m2-nuke1.doctrine|10000
champ|8755369|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8755369|doctrines/g4m2-nuke1.doctrine|10000
champ|8755473|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8755473|doctrines/g4m2-nuke1.doctrine|10000
champ|8755577|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8755577|doctrines/g4m2-nuke1.doctrine|10000
champ|8755681|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8755681|doctrines/g4m2-nuke1.doctrine|10000
champ|8755785|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8755785|doctrines/g4m2-nuke1.doctrine|10000
champ|8755889|doctrines/evolve1-g4m2.doctrine|10000
nuke1|8755889|doctrines/g4m2-nuke1.doctrine|10000
