rt_bin,precursor_mz,rt_seconds,log10_ms1_height,ms1_n_peaks,ms2_n_peaks,ms2_log10_total_intensity,ms2_log10_max_intensity,ms2_frac_top3,n_samples_detected,log10_mean_detected_intensity,log10_max_detected_intensity,confidence_exact
3,249.93414,23.40,3.991270,4,10,4.515459,3.996698,0.604166,12,2.429456,2.574750,0.060
3,272.95088,23.53,4.294466,8,19,4.706365,3.996698,0.389269,12,2.763844,2.885128,0.046
3,255.94877,23.77,4.377306,8,125,6.127098,5.160609,0.274307,12,2.516636,2.909538,0.066
3,263.9425,23.85,4.121888,11,82,5.713383,4.836608,0.319924,12,1.921327,2.611344,0.029
3,151.04115,23.89,3.963032,5,131,6.137877,5.126898,0.276529,12,2.483299,2.604530,0.006
3,242.00674,23.97,5.526210,8,140,6.158925,5.126898,0.263447,12,3.837260,4.081368,0.013
4,182.96831,24.05,5.001301,6,148,6.167980,5.126898,0.258011,12,3.264362,3.536848,0.070
4,200.97937,24.05,4.874308,5,145,6.165773,5.126898,0.259325,12,3.127159,3.411023,0.050
4,314.96358,24.14,4.044932,6,155,6.217368,5.126898,0.231777,12,2.254405,2.520874,0.029
4,216.95822,24.18,4.794976,6,150,6.212689,5.126898,0.234287,12,2.753178,3.279236,0.212
4,239.97444,24.18,5.229170,12,151,6.213742,5.126898,0.233720,12,3.213158,3.744239,0.087
4,232.93482,24.18,3.912275,3,80,6.076039,5.160609,0.308530,5,2.089048,2.435628,0.069
4,257.98595,24.18,4.410102,5,152,6.214515,5.126898,0.233304,9,2.497179,2.914173,0.028
4,312.93093,24.18,4.360783,5,134,6.200513,5.126898,0.240949,9,2.443041,2.862107,0.010
4,330.94139,24.18,4.279667,11,141,6.206738,5.126898,0.237520,12,2.259019,2.776173,0.081
4,355.99092,24.18,3.796990,6,128,6.067032,5.088761,0.261044,11,1.992552,2.312400,0.018
4,337.98021,24.18,4.183839,5,149,6.201654,5.126898,0.240317,12,2.439762,2.687622,0.116
4,382.94024,24.18,4.078094,4232,139,6.200659,5.126898,0.240868,13,2.045849,2.497475,0.019
4,496.92409,24.18,3.805297,8,115,6.063961,5.088761,0.262897,12,1.917372,2.267126,0.040
4,398.9209,24.31,4.152594,2,109,6.156973,5.126898,0.266358,11,2.090249,2.617572,0.062
4,286.96773,24.46,3.842547,5,113,6.045383,5.088761,0.274387,12,2.117487,2.354842,0.012
4,329.08869,24.70,4.369216,6040,14,4.946151,4.314120,0.416568,13,2.135958,2.489910,0.029
4,372.24703,24.70,4.097951,3,14,4.801459,4.314120,0.547884,5,1.927312,2.566364,0.029
4,151.03495,24.71,4.341830,6,106,5.952465,5.092427,0.317520,11,2.591351,2.952325,0.018
4,231.91272,24.71,3.799754,5085,37,5.177969,4.294118,0.287223,11,2.124851,2.342721,0.026
4,225.09004,24.70,4.232488,5136,20,4.974203,4.021778,0.287053,14,2.121630,2.624907,0.024
4,327.05733,24.83,3.700358,4,18,5.092657,4.627253,0.496633,12,1.718494,2.122755,0.027
4,241.99687,24.85,5.439333,9,141,6.217086,5.371577,0.310130,11,3.771570,3.979333,0.028
4,158.09782,24.87,4.863025,5,11,5.002316,4.627253,0.665597,12,3.269682,3.634788,0.016
4,439.18662,24.70,4.005181,5136,11,4.995386,4.627253,0.676302,12,1.595342,2.295132,0.036
4,243.10167,24.88,4.402433,3,18,5.134723,4.627253,0.490687,8,2.572440,2.867032,0.005
4,395.04102,24.70,4.295347,5136,8,4.475435,3.988873,0.566358,12,2.102968,2.462475,0.025
4,479.00555,25.23,4.126781,5895,17,4.919894,4.314120,0.442530,12,2.073558,2.429142,0.020
4,314.95053,25.13,3.838849,5,139,6.142268,5.182570,0.272423,10,2.004793,2.365791,0.099
4,523.15378,25.23,3.740205,4,17,5.175482,4.627253,0.500824,5,1.529568,2.151857,0.055
4,255.94028,25.24,4.829818,10,145,6.264130,5.371577,0.278292,11,3.194051,3.355943,0.014
4,257.97471,25.24,4.553640,5,140,6.250174,5.371577,0.287380,11,2.946376,3.047878,0.014
4,232.92549,25.24,4.591065,5562,58,6.131242,5.437150,0.405774,7,2.626183,2.813136,0.013
