site,species,rt_minutes,run_n_peaks,rt_rank_frac,gap_prev_minutes,peaks_within_0p1min,peaks_within_1min,run_rt_span,match1_quality
Angelo,nothodens,1.829,17,0.029412,1.829000,0,3,47.853000,9
Angelo,nothodens,2.0579999999999998,17,0.088235,0.229000,0,4,47.853000,90
Angelo,nothodens,2.1960000000000002,17,0.147059,0.138000,0,5,47.853000,9
Angelo,nothodens,2.8170000000000002,17,0.205882,0.621000,0,6,47.853000,86
Angelo,nothodens,2.984,17,0.264706,0.167000,0,5,47.853000,91
Angelo,nothodens,3.129,17,0.323529,0.145000,0,4,47.853000,14
Angelo,nothodens,3.73,17,0.382353,0.601000,0,3,47.853000,83
Angelo,nothodens,4.78,17,0.441176,1.050000,0,0,47.853000,90
Angelo,nothodens,24.768999999999998,17,0.500000,19.989000,0,0,47.853000,90
Angelo,nothodens,29.484000000000002,17,0.558824,4.715000,0,0,47.853000,90
Angelo,nothodens,46.09,17,0.617647,16.606000,0,1,47.853000,55
Angelo,nothodens,46.219000000000001,17,0.676471,0.129000,0,1,47.853000,72
Angelo,nothodens,47.465000000000003,17,0.735294,1.246000,0,2,47.853000,78
Angelo,nothodens,48.11,17,0.794118,0.645000,0,3,47.853000,72
Angelo,nothodens,48.317999999999998,17,0.852941,0.208000,0,3,47.853000,49
Angelo,nothodens,48.567,17,0.911765,0.249000,0,2,47.853000,83
Angelo,nothodens,49.682000000000002,17,0.970588,1.115000,0,0,47.853000,91
Angelo,nothodens,2.0219999999999998,12,0.041667,2.022000,1,3,46.501000,64
Angelo,nothodens,2.056,12,0.125000,0.034000,1,3,46.501000,72
Angelo,nothodens,2.819,12,0.208333,0.763000,0,5,46.501000,86
Angelo,nothodens,2.9849999999999999,12,0.291667,0.166000,0,5,46.501000,90
Angelo,nothodens,3.133,12,0.375000,0.148000,0,3,46.501000,11
Angelo,nothodens,3.7309999999999999,12,0.458333,0.598000,0,3,46.501000,90
Angelo,nothodens,4.7809999999999997,12,0.541667,1.050000,0,0,46.501000,90
Angelo,nothodens,8.84,12,0.625000,4.059000,0,0,46.501000,83
Angelo,nothodens,20.891999999999999,12,0.708333,12.052000,0,1,46.501000,95
Angelo,nothodens,21.611999999999998,12,0.791667,0.720000,0,1,46.501000,87
Angelo,nothodens,24.771000000000001,12,0.875000,3.159000,0,0,46.501000,90
Angelo,nothodens,48.523000000000003,12,0.958333,23.752000,0,0,46.501000,86
Angelo,nothodens,2.032,16,0.031250,2.032000,0,2,47.294000,56
Angelo,nothodens,2.819,16,0.093750,0.787000,0,3,47.294000,86
Angelo,nothodens,2.984,16,0.156250,0.165000,0,3,47.294000,91
Angelo,nothodens,3.7250000000000001,16,0.218750,0.741000,0,2,47.294000,83
Angelo,nothodens,4.78,16,0.281250,1.055000,0,0,47.294000,90
Angelo,nothodens,16.617999999999999,16,0.343750,11.838000,0,0,47.294000,90
Angelo,nothodens,20.881,16,0.406250,4.263000,0,1,47.294000,94
Angelo,nothodens,21.585000000000001,16,0.468750,0.704000,0,1,47.294000,94
Angelo,nothodens,23.427,16,0.531250,1.842000,0,0,47.294000,90
Angelo,nothodens,24.753,16,0.593750,1.326000,0,0,47.294000,93
Angelo,nothodens,27.498999999999999,16,0.656250,2.746000,0,0,47.294000,95
Angelo,nothodens,28.635999999999999,16,0.718750,1.137000,0,1,47.294000,86
Angelo,nothodens,28.901,16,0.781250,0.265000,0,1,47.294000,87
Angelo,nothodens,32.082999999999998,16,0.843750,3.182000,0,0,47.294000,64
Angelo,nothodens,48.015000000000001,16,0.906250,15.932000,0,0,47.294000,38
Angelo,nothodens,49.326000000000001,16,0.968750,1.311000,0,0,47.294000,64
Angelo,nothodens,2.052,11,0.045455,2.052000,0,3,47.608000,90
Angelo,nothodens,2.2000000000000002,11,0.136364,0.148000,0,4,47.608000,5
Angelo,nothodens,2.8210000000000002,11,0.227273,0.621000,0,5,47.608000,12
Angelo,nothodens,2.9849999999999999,11,0.318182,0.164000,0,5,47.608000,90
Angelo,nothodens,3.1320000000000001,11,0.409091,0.147000,0,4,47.608000,38
Angelo,nothodens,3.734,11,0.500000,0.602000,0,3,47.608000,78
Angelo,nothodens,4.78,11,0.590909,1.046000,0,0,47.608000,90
Angelo,nothodens,20.879000000000001,11,0.681818,16.099000,0,0,47.608000,64
Angelo,nothodens,24.763999999999999,11,0.772727,3.885000,0,0,47.608000,94
Angelo,nothodens,27.512,11,0.863636,2.748000,0,0,47.608000,91
Angelo,nothodens,49.66,11,0.954545,22.148000,0,0,47.608000,94
Angelo,nothodens,2.0550000000000002,8,0.062500,2.055000,0,1,47.271000,91
Angelo,nothodens,2.9849999999999999,8,0.187500,0.930000,0,2,47.271000,91
Angelo,nothodens,3.734,8,0.312500,0.749000,0,1,47.271000,83
Angelo,nothodens,4.78,8,0.437500,1.046000,0,0,47.271000,90
Angelo,nothodens,20.881,8,0.562500,16.101000,0,0,47.271000,90
Angelo,nothodens,24.766999999999999,8,0.687500,3.886000,0,0,47.271000,87
Angelo,nothodens,48.52,8,0.812500,23.753000,0,1,47.271000,72
